Time	ACE	 ALA 	 FOR 	 PYR 	 ETOH 	 GLC 	 LAC 
5	0.686079159909981	0.352668904657515	0.271293771262705	0.282469139463095	0.248351940239224	5.16630814568026	0.0712406341958987
6.75	0.687672444646716	0.361318637275728	0.27391401585408	0.329132846916247	0.251620459437311	5.3910661637285	0.0716638244637927
8.5	0.690616757561834	0.375205904823668	0.268544625230093	0.383292002434794	0.259032951308249	4.82270369767996	0.0762050140643337
10.25	0.688103794715911	0.382373449436483	0.271928064222974	0.426170418853683	0.260870660454035	4.63965858112673	0.076885446185115
12	0.69295232688529	0.403301241274558	0.266181057154522	0.489500439660487	0.271136289284411	4.59847699564914	0.0848684307472358
13.75	0.696394752806858	0.420022326361824	0.262696872204216	0.550804259903363	0.27742595798988	4.53814990438068	0.0919411759209004
15.5	0.691229129360853	0.425655732413951	0.275945488058358	0.594575048565217	0.272297452518753	4.31040841716787	0.0941425096148309
17.25	0.695466585241726	0.444814111594003	0.275355842840949	0.645067821620029	0.280672175777846	4.30044656597784	0.10469541179563
19	0.695943094154963	0.458595518706917	0.27255157238135	0.687428929907147	0.28344133869843	4.20396672580384	0.112471150685093
20.75	0.693815972593031	0.468492334979911	0.27912660506514	0.722585068208395	0.281961516930993	4.0411391791574	0.121170285323102
22.5	0.69901709534161	0.486219658891639	0.271457601385046	0.763258874894589	0.291503343782776	4.05261686317909	0.137400413071334
24.25	0.696703800371575	0.496143261472033	0.277981904121451	0.789986640686829	0.29011913219379	3.90826329024596	0.149869088029241
26	0.698163374281376	0.511682079830062	0.27852188923086	0.817921371972921	0.296174424629901	3.8584524058381	0.167160588567617
27.75	0.697582600736068	0.524719271826234	0.277967529881909	0.841226750227144	0.299920410859283	3.79539569019351	0.188882490730974
29.5	0.698124312732993	0.536011794829957	0.275610093349089	0.861726716213084	0.302120069125083	3.71776364879084	0.207026523732426
31.25	0.699325041988379	0.549488400370347	0.278775483628281	0.87780198334229	0.307024103308613	3.65119717282441	0.231451393930432
33	0.703393956946001	0.566909839789564	0.27422136030174	0.898056423045196	0.315983118690646	3.66360215242267	0.258048557813328
34.75	0.698069412230218	0.573448198542646	0.281374819110046	0.905089687680655	0.310935179337476	3.48084282857331	0.281861992909877
36.5	0.704384439908367	0.589978439871538	0.277442434735079	0.921305391948163	0.319237256132555	3.51325338568075	0.311898752879769
38.25	0.703956053924293	0.603309606595817	0.277763655257621	0.934093344880542	0.322926240529239	3.4561951901302	0.340241849039362
40	0.701734556436641	0.608354758057965	0.283142453438566	0.940401920702247	0.323970680920259	3.3058248884503	0.366629487959693
41.75	0.705365501286629	0.62276629440344	0.278941005422161	0.951388764705537	0.329427470267435	3.29375484484009	0.398046334266015
43.5	0.706827420108201	0.632754474446486	0.2793431369164	0.959480279584132	0.331647985609244	3.20912412967438	0.42977389635421
45.25	0.706617170736358	0.644103590962638	0.283465234883098	0.967097700646986	0.336889146361124	3.15484252140003	0.461733971845119
47	0.707145700345927	0.654133043710104	0.282179489952255	0.974204898853872	0.337926381711417	3.07816381180967	0.494646285698432
48.75	0.705321080987684	0.662872821353973	0.290236870324302	0.974817666231244	0.338445630428944	2.97625211865837	0.52452009724935
50.5	0.706547450317874	0.673353827918451	0.285452659356042	0.982640608228019	0.342356950813781	2.92592167192514	0.557896399233423
52.25	0.715561788565304	0.691949873010651	0.275838766361426	0.997734312022163	0.356139148184534	2.99752477779841	0.59829876200896
54	0.709007185319457	0.698206593780033	0.286503743243561	0.997631479307179	0.352694173787131	2.84019109224775	0.629700284340523
55.75	0.713681329258188	0.711133591325956	0.280965718139331	1.00719329763179	0.360590588310173	2.8567792594513	0.667101279523563
57.5	0.715429869715142	0.723958337744505	0.277242764049642	1.01317762215811	0.367055616249383	2.83335605333224	0.704605697983755
59.25	0.712286463875289	0.727613053143115	0.287165594542185	1.01099305061862	0.36365790123925	2.63717483480788	0.733709998714079
61	0.715037162434079	0.74028174804253	0.287930871082134	1.0184212802821	0.368435526311106	2.64217241975538	0.772406653807307
62.75	0.717665715294086	0.751077706909084	0.285847697662508	1.02382320457819	0.374990327818501	2.60854406374157	0.808905302705002
64.5	0.714392935859118	0.753939139784835	0.289737941688041	1.02484143485143	0.374901630373879	2.47870073048741	0.841674725616468
66.25	0.717851944305737	0.765979366152292	0.288317675758002	1.03063798987816	0.37900503220956	2.45213815588133	0.878707432640056
68	0.719817077067194	0.776605502846873	0.28121902920792	1.03772113290086	0.384405542424809	2.43441844848981	0.91610821983067
69.75	0.718085527630906	0.782459438155698	0.292624152654082	1.03766425873549	0.384463301507202	2.30436997141753	0.950159584803683
71.5	0.720384675771746	0.79150467250203	0.290443383910644	1.04272132572975	0.388674495538471	2.24888434092487	0.986868137575891
73.25	0.722652739598699	0.801037720547851	0.290496678829745	1.04786317355056	0.39523427574749	2.25130368122953	1.02487652439458
75	0.720480881875897	0.804337471010669	0.296718135354407	1.04692609596021	0.392364645338792	2.12015076645132	1.05905818055711
76.75	0.725811829489985	0.816464429735665	0.286592491904804	1.05353491247012	0.402082749889134	2.15226509137996	1.09726387650065
78.5	0.722155723179736	0.823403845794393	0.290497667027073	1.05752585773742	0.40307404382128	2.06733198423249	1.13275712342456
80.25	0.721786840402909	0.826284998895182	0.29369536860067	1.05515928634775	0.402066143434177	1.94711090998843	1.16726561834616
82	0.723703847347317	0.841065414297194	0.289652461378339	1.06293551857919	0.411812377773789	1.98446856292981	1.20766760339442
83.75	0.726644116814383	0.847697789613776	0.289753224257146	1.06458030076713	0.416675778569139	1.93517785135495	1.24567029560147
85.5	0.724104255209499	0.853370649480914	0.295601890461234	1.06662322876922	0.417599849844094	1.84192615370046	1.28277630734749
87.25	0.72784190150513	0.863169093742876	0.289616260879505	1.06986487118634	0.424812720289064	1.83847178266587	1.32084184878337
89	0.730038740138585	0.873145877801804	0.292114173050133	1.07690710469713	0.432400968625689	1.82053548098895	1.36198213397939
90.75	0.725638100246306	0.877386665190334	0.298760196499625	1.07481376884012	0.429714466448876	1.66473613324897	1.39407079299126
92.5	0.732463898699139	0.889442579648328	0.289672634677028	1.08076688795132	0.439367781518611	1.74019080014062	1.43705845956841
94.25	0.730369020739256	0.89322339103735	0.291113343431731	1.08050772077283	0.439269679811074	1.62377459763535	1.46917436967035
96	0.72900014952121	0.899312205584585	0.297635381213176	1.080120188137	0.441196338874961	1.54073094789731	1.50372276705688
97.75	0.732500105603398	0.905498655111087	0.290495072913161	1.08685615174701	0.446598660623824	1.56581926598286	1.54254004864647
99.5	0.731554108947091	0.911166411911927	0.294907344738653	1.08655868421606	0.449888857777668	1.47357820902712	1.57808438369653
101.25	0.731268439137577	0.914485198452458	0.300126894839599	1.08652529968037	0.450054870900252	1.36739742578993	1.61284696673979
103	0.733303416245298	0.924639925297789	0.293108153732984	1.0903926293478	0.457328902265223	1.39340602875276	1.65029139099186
104.75	0.734699500350686	0.929169103253231	0.297054834189999	1.09255399716232	0.459397225358169	1.34317396062531	1.68605780255446
106.5	0.730989221098994	0.933717996715556	0.301384552773783	1.09089963576655	0.458248885031436	1.22498474119543	1.7207100127601
108.25	0.734340532011032	0.940617963931457	0.29839542229368	1.09656584477413	0.468405461656259	1.25908347612577	1.75741815161377
110	0.732955595395118	0.944799929718946	0.299627842222569	1.09542216608619	0.467586821254268	1.15779558944788	1.79163305725184
111.75	0.730746831342147	0.948924462533592	0.306334437129323	1.09325357045688	0.46986415939468	1.06952385449925	1.82367163120119
113.5	0.733398831082314	0.958729507138516	0.300482302083925	1.0988361948928	0.48923190581494	1.0932771775037	1.86485958406861
115.25	0.733223847783101	0.963100166429083	0.297547358637152	1.09893774711964	0.463894770728521	1.03754944321404	1.90156751339396
117	0.735525340162992	0.972258485683338	0.298951180247845	1.10365441609065	0.501997318662338	1.07323276554852	1.9407045564266
118.75	0.737603177840523	0.979286968799146	0.301146791552151	1.10576696863984	0.49466250236421	1.07069530727519	1.97781872125297
120.5	0.731890136923637	0.98156798463581	0.306749247488111	1.10212684938146	0.494239741481318	0.899922016040084	2.00950931063534
122.25	0.733427651470082	0.98419703225019	0.305646089651622	1.10389476480554	0.496776577381681	0.857925771279376	2.04179158282897
124	0.736992885671465	0.992469226758708	0.302215846103987	1.10728797604037	0.503393081324875	0.926014535644437	2.07903705573553
125.75	0.735961256048274	0.996589944423087	0.303963855283654	1.10826846773393	0.507206846196493	0.888319585842418	2.11081033363055
127.5	0.737083803128601	1.00473688698736	0.30072326398655	1.11053024949482	0.51386743711575	0.963898629102929	2.14638917798647
129.25	0.733134698110289	1.00254753426922	0.309720802490622	1.10708836721482	0.509853135649449	0.720137902651265	2.17418325240178
131	0.736867616763931	1.01171121654831	0.301231670685761	1.11110295497299	0.519336857690765	0.92010191043252	2.20912285965745
132.75	0.731737613665972	1.00923135595459	0.307552274333848	1.10511282944344	0.517177684450526	0.643915838260278	2.23880455598637
