Time	ACE	BPG	CO2	ETOH	F6P	F16P	F26BP	G6P	GLCi	GLCo	GLY	Glyc	NAD	NADH	P2G	P3G	P	PEP	PYR	SUCC	SUM_P	Trh	TRIO
0.01	0.0117946663027913	0.000405017560250869	1.47410408923967	50.6252154410651	0.350547795004636	4.95331906469718	0.02	2.49077545500397	0.0974871042015386	49.1180795977437	0.625589848399815	0.0600000000000001	1.04515708521445	0.544842914785552	0.0512290235405255	0.408550408837624	6.52206866244774	0.0752792053897758	3.17543948687539	0.00354699093580282	4.1	0.024	2.33698488685513
0.011	0.0116994139161326	0.000388285851742703	1.53731579981419	50.6880197906775	0.350070935547316	4.94265643712853	0.02	2.48415484860308	0.0971264812460315	49.0298779675113	0.675394058625658	0.0660000000000001	1.0319010191642	0.558098980835804	0.0486235752061902	0.387950056121691	6.52548847972914	0.0726834617384016	3.26315675857647	0.00379829761016752	4.1	0.0264	2.35311466399316
0.012	0.0116428282968901	0.000373356327130967	1.60252590417544	50.7527870746728	0.349546635100899	4.93448126183323	0.02	2.47760593520766	0.0968841013839142	48.941660948875	0.725037100717384	0.0720000000000001	1.02074807544487	0.569251924555136	0.0464061568885376	0.370508460985378	6.52474256120891	0.0703142681330202	3.34480395162775	0.00404800060276387	4.1	0.0288000000000001	2.36447303634409
0.013	0.0116150886183198	0.000360145878651493	1.66957501609714	50.8193662960259	0.348854019198994	4.92820569793476	0.02	2.47109137950972	0.0967569140944164	48.8534361380122	0.77448423947799	0.0780000000000001	1.01135898441784	0.57864101558216	0.0445389558865189	0.355893635556941	6.52042841403628	0.0681912578060781	3.42104209268173	0.00429681572638175	4.1	0.0312000000000001	2.37242635911482
0.014	0.0116093928996763	0.000348530239729696	1.73832280347599	50.8876228442198	0.347939883704061	4.92339790094391	0.02	2.46455939156948	0.0967361287398633	48.7652107352358	0.823710628902001	0.0840000000000002	1.00346049458321	0.586539505416793	0.0429816671784853	0.343763050301139	6.51312141565633	0.0663177697592757	3.49250330804966	0.00454528317816544	4.1	0.0336	2.37796416170749
0.015	0.0116209331242872	0.000338363573567329	1.80864651059748	50.9574379367077	0.34679176709677	4.91974097759022	0.02	2.45795566551267	0.0968100451459451	48.6769912683595	0.872698627514174	0.0900000000000001	0.996830592659037	0.593169407340963	0.0416942864357323	0.333784009894487	6.50336058795313	0.0646851817015571	3.55977615821209	0.00479382038268457	4.1	0.036	2.38179741466086
0.016	0.0116462314133047	0.000329493376462949	1.88043922150308	51.0287074759946	0.345420985787221	4.91700087165153	0.02	2.45123007319413	0.0969658389487472	48.5887834639763	0.921435881050552	0.0960000000000001	0.991286764097736	0.598713235902265	0.0406390410762744	0.325647053061774	6.49164001249248	0.0632771784085615	3.62339633437892	0.00504275704750472	4.1	0.0384000000000001	2.38443333002865
0.017	0.0116827093651791	0.000321770795216348	1.95360802906547	51.1013406023188	0.343851873994544	4.91500226804713	0.02	2.44434013652055	0.0971906463768376	48.5005922110442	0.969913940494336	0.102	0.986677166078813	0.603322833921188	0.0397815332027143	0.31907334828788	6.47840447803215	0.0620733101430857	3.68384230916814	0.00529235869066158	4.1	0.0408	2.38623148687673
0.018	0.0117284079369194	0.000315056972224751	2.02807223247844	51.1752581391822	0.342114954979721	4.91361107317159	0.02	2.43725251860512	0.0974721901599182	48.4124215796787	1.01812725799907	0.108	0.982874160263015	0.607125839736986	0.0390912638499677	0.313817553688134	6.46404833661749	0.0610516374765367	3.74153496441435	0.00554284267958446	4.1	0.0432	2.3874453999312
0.019	0.0117818042531422	0.000309226376380889	2.10376164453646	51.2503910615096	0.340242653311503	4.91272198474283	0.02	2.4299433072782	0.0977991109762804	48.3242748709377	1.06607245201692	0.114	0.979769595788643	0.610230404211357	0.0385417225856411	0.30966759126248	6.4489167000239	0.060190511241164	3.79684005357554	0.00579438938678464	4.1	0.0456	2.38825294391246
0.02	0.0118416906083968	0.0003041680017243	2.18061505514768	51.3266790642548	0.33826667594603	4.91224983789363	0.02	2.42239758381373	0.0981611142467662	48.2361546820964	1.11374776544826	0.12	0.977271323241081	0.61272867675892	0.03811020280718	0.306442543314637	6.43330822148808	0.0594696488500838	3.85007243791454	0.00604715014212525	4.1	0.048	2.38877839052277
0.021	0.011907093358851	0.000299785230907467	2.258578871438	51.4040692719721	0.336216502114734	4.9121236731109	0.02	2.41460859374473	0.0985490040750453	48.148062977775	1.16115266339341	0.126	0.975300553549911	0.614699446450089	0.0377774650182708	0.303989565781088	6.41747883757436	0.0588706925123617	3.90150124267498	0.00630125305340976	4.1	0.0504000000000001	2.38910821231025
0.022	0.0119772174177329	0.000295994874462152	2.33760593707848	51.4825151048926	0.334118607524081	4.91228271646554	0.02	2.40657672683452	0.0989546512182871	48.0600011610419	1.2082875324265	0.132	0.973789792664751	0.616210207335249	0.0375273341017972	0.302180433946411	6.40164597932025	0.0583774168395021	3.95135530566193	0.00655680738398256	4.1	0.0528000000000001	2.38930231890229
0.023	0.012051407286223	0.000292725839439749	2.4176545202697	51.5619752991126	0.331996167852072	4.91267367399324	0.02	2.39830843706408	0.0993709249699202	47.9719701412519	1.25515345384058	0.138	0.972681173481008	0.617318826518992	0.0373462848907892	0.300908098880015	6.38599290242667	0.0579757168198987	3.99982851196659	0.00681390693532527	4.1	0.0552000000000001	2.38940199723051
0.024	0.0121291189250596	0.000289917659481301	2.49868745696214	51.6424130726041	0.32986906605082	4.91324892050902	0.02	2.38981518753707	0.0997916080084996	47.8839703967423	1.30175203169833	0.144	0.971925074359933	0.618074925640068	0.0372230491098621	0.300083479749436	6.37067288796089	0.0576534713992023	4.04708475691352	0.00707263271636864	4.1	0.0576000000000001	2.38943547881257
0.025	0.0122098988254042	0.000287519047017739	2.58067142979934	51.7237954207845	0.327754081022777	4.91396528215475	0.02	2.38111246775568	0.100211305808626	47.7960020317406	1.34808526117803	0.15	0.971478950814572	0.618521049185429	0.0371482595439891	0.299632592007068	6.3558131708641	0.0574003463305638	4.0932624191364	0.00733305509460353	4.1	0.0600000000000002	2.3894218359928
0.026	0.0122933680039188	0.000285486543525095	2.66357636497538	51.8060925258614	0.325665174691943	4.91478321236835	0.02	2.3722189096145	0.100625357567599	47.7080648273173	1.39415542710024	0.156	0.971306335817575	0.618693664182425	0.0371141380926013	0.299494047840233	6.34151851413706	0.0572075764636087	4.13847829656415	0.00759523555492757	4.1	0.0624000000000002	2.38937369930086
0.027	0.0123792094535506	0.000283783335041307	2.74737492951119	51.8892772637473	0.323613821732362	4.91566622510007	0.02	2.3631555124667	0.10102975251003	47.6201582866155	1.43996502514144	0.162	0.971375978415339	0.618624021584662	0.0371142280842843	0.299616921540109	6.32787439740738	0.0570677511645092	4.18283101237325	0.00785922815507239	4.1	0.0648000000000002	2.38929915200097
0.028	0.0124671581059936	0.000282378198335699	2.83204211307573	51.9733247934877	0.321609346135007	4.91658049520105	0.02	2.35394497753486	0.101421053461392	47.532281674784	1.48551670024841	0.168	0.971661099954008	0.618338900045992	0.0371431678603242	0.299958949605273	6.31494982014981	0.0569746154876599	4.22640392733207	0.00812508074094993	4.1	0.0672000000000002	2.38920305395963
0.029	0.0125569926675235	0.000281244618330228	2.91755488107948	52.0582122164783	0.319659242256454	4.91749456754788	0.02	2.34461114691594	0.101796328489674	47.4444340540619	1.53081319829759	0.174	0.972138752042761	0.61786124795724	0.0371965016282853	0.300485030148698	6.30279973597395	0.0569228931460215	4.26926760421232	0.00839283596673083	4.1	0.0696000000000002	2.38908796832562
0.03	0.0126485288998121	0.000280360031128884	3.00389188583163	52.1439182926141	0.317769469214733	4.91837913622998	0.02	2.33517853596662	0.102153090369322	47.3566143146741	1.57585732783176	0.18	0.97278926211432	0.61721073788568	0.0372705218012551	0.301165974056057	6.29146715635425	0.0569081318833231	4.31148188825186	0.00866253215880215	4.1	0.0720000000000002	2.38895481740361
0.031	0.0127416140360678	0.000279705193770197	3.09103322713915	52.2304232050097	0.315944711747389	4.9192068704491	0.02	2.32567195082863	0.102489243663173	47.2688212019047	1.62065192983526	0.186000000000001	0.973595756817122	0.616404243182878	0.0373621390506798	0.301977476238931	6.28098494965095	0.0569265716477345	4.35309764661791	0.00893420404661062	4.1	0.0744000000000003	2.38880334709073
